2022-10-25 09:23:47 status half-installed python3-minimal:amd64 3.9.2-3
2022-10-25 09:23:47 status unpacked python3-minimal:amd64 3.9.2-3
2022-10-25 09:23:47 install media-types:all <none> 4.0.0
2022-10-25 09:23:47 status half-installed media-types:all 4.0.0
2022-10-25 09:23:47 status unpacked media-types:all 4.0.0
2022-10-25 09:23:47 install libmpdec3:amd64 <none> 2.5.1-1
2022-10-25 09:23:47 status half-installed libmpdec3:amd64 2.5.1-1
2022-10-25 09:23:47 status unpacked libmpdec3:amd64 2.5.1-1
2022-10-25 09:23:47 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-10-25 09:23:47 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-10-25 09:23:47 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-10-25 09:23:48 install python3.9:amd64 <none> 3.9.2-1
2022-10-25 09:23:48 status half-installed python3.9:amd64 3.9.2-1
2022-10-25 09:23:48 status unpacked python3.9:amd64 3.9.2-1
2022-10-25 09:23:48 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-10-25 09:23:48 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-10-25 09:23:48 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-10-25 09:23:48 startup packages configure
2022-10-25 09:23:48 configure python3-minimal:amd64 3.9.2-3 <none>
2022-10-25 09:23:48 status unpacked python3-minimal:amd64 3.9.2-3
2022-10-25 09:23:48 status half-configured python3-minimal:amd64 3.9.2-3
2022-10-25 09:23:48 status installed python3-minimal:amd64 3.9.2-3
2022-10-25 09:23:48 startup archives unpack
2022-10-25 09:23:48 install python3:amd64 <none> 3.9.2-3
2022-10-25 09:23:48 status half-installed python3:amd64 3.9.2-3
2022-10-25 09:23:48 status unpacked python3:amd64 3.9.2-3
2022-10-25 09:23:48 install libncurses6:amd64 <none> 6.2+20201114-2
2022-10-25 09:23:48 status half-installed libncurses6:amd64 6.2+20201114-2
2022-10-25 09:23:48 status unpacked libncurses6:amd64 6.2+20201114-2
2022-10-25 09:23:48 install libprocps8:amd64 <none> 2:3.3.17-5
2022-10-25 09:23:48 status half-installed libprocps8:amd64 2:3.3.17-5
2022-10-25 09:23:48 status unpacked libprocps8:amd64 2:3.3.17-5
2022-10-25 09:23:48 install procps:amd64 <none> 2:3.3.17-5
2022-10-25 09:23:48 status half-installed procps:amd64 2:3.3.17-5
2022-10-25 09:23:48 status unpacked procps:amd64 2:3.3.17-5
2022-10-25 09:23:48 install sensible-utils:all <none> 0.0.14
2022-10-25 09:23:48 status half-installed sensible-utils:all 0.0.14
2022-10-25 09:23:48 status unpacked sensible-utils:all 0.0.14
2022-10-25 09:23:48 install libmd0:amd64 <none> 1.0.3-3
2022-10-25 09:23:48 status half-installed libmd0:amd64 1.0.3-3
2022-10-25 09:23:48 status unpacked libmd0:amd64 1.0.3-3
2022-10-25 09:23:48 install libbsd0:amd64 <none> 0.11.3-1
2022-10-25 09:23:48 status half-installed libbsd0:amd64 0.11.3-1
2022-10-25 09:23:48 status unpacked libbsd0:amd64 0.11.3-1
2022-10-25 09:23:48 install libedit2:amd64 <none> 3.1-20191231-2+b1
2022-10-25 09:23:48 status half-installed libedit2:amd64 3.1-20191231-2+b1
2022-10-25 09:23:48 status unpacked libedit2:amd64 3.1-20191231-2+b1
2022-10-25 09:23:48 install libcbor0:amd64 <none> 0.5.0+dfsg-2
2022-10-25 09:23:48 status half-installed libcbor0:amd64 0.5.0+dfsg-2
2022-10-25 09:23:48 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2022-10-25 09:23:48 install libfido2-1:amd64 <none> 1.6.0-2
2022-10-25 09:23:48 status half-installed libfido2-1:amd64 1.6.0-2
2022-10-25 09:23:48 status unpacked libfido2-1:amd64 1.6.0-2
2022-10-25 09:23:48 install openssh-client:amd64 <none> 1:8.4p1-5+deb11u1
2022-10-25 09:23:48 status half-installed openssh-client:amd64 1:8.4p1-5+deb11u1
2022-10-25 09:23:48 status unpacked openssh-client:amd64 1:8.4p1-5+deb11u1
